id,datetime,season,competition,home_team,away_team,home_goals,away_goals,name_of_team,xG,xG_conceded,result,opponent,venue
14173,2020-09-18 18:30:00,2020-2021,Bundesliga,Bayern Munich,Schalke 04,8,0,Bayern Munich,4.62088,0.14975,W,Schalke 04,Home
14189,2020-09-27 13:30:00,2020-2021,Bundesliga,Hoffenheim,Bayern Munich,4,1,Bayern Munich,1.17311,2.52339,W,Hoffenheim,Away
15166,2020-10-04 16:00:00,2020-2021,Bundesliga,Bayern Munich,Hertha Berlin,4,3,Bayern Munich,3.99311,1.24509,W,Hertha Berlin,Home
15172,2020-10-17 16:30:00,2020-2021,Bundesliga,Arminia Bielefeld,Bayern Munich,1,4,Bayern Munich,3.29447,1.21235,L,Arminia Bielefeld,Away
15180,2020-10-24 13:30:00,2020-2021,Bundesliga,Bayern Munich,Eintracht Frankfurt,5,0,Bayern Munich,3.80823,0.429229,W,Eintracht Frankfurt,Home
15186,2020-10-31 14:30:00,2020-2021,Bundesliga,FC Cologne,Bayern Munich,1,2,Bayern Munich,0.992927,0.681548,L,FC Cologne,Away
15200,2020-11-07 17:30:00,2020-2021,Bundesliga,Borussia Dortmund,Bayern Munich,2,3,Bayern Munich,1.33621,2.30881,L,Borussia Dortmund,Away
15203,2020-11-21 14:30:00,2020-2021,Bundesliga,Bayern Munich,Werder Bremen,1,1,Bayern Munich,1.6736,1.63104,D,Werder Bremen,Home
15220,2020-11-28 14:30:00,2020-2021,Bundesliga,VfB Stuttgart,Bayern Munich,1,3,Bayern Munich,0.889035,1.38666,L,VfB Stuttgart,Away
15221,2020-12-05 17:30:00,2020-2021,Bundesliga,Bayern Munich,RasenBallsport Leipzig,3,3,Bayern Munich,1.00047,1.56492,D,RasenBallsport Leipzig,Home
15236,2020-12-12 17:30:00,2020-2021,Bundesliga,Union Berlin,Bayern Munich,1,1,Bayern Munich,1.06474,1.08682,D,Union Berlin,Away
15245,2020-12-16 19:30:00,2020-2021,Bundesliga,Bayern Munich,Wolfsburg,2,1,Bayern Munich,1.26746,1.10816,W,Wolfsburg,Home
15250,2020-12-19 17:30:00,2020-2021,Bundesliga,Bayer Leverkusen,Bayern Munich,1,2,Bayern Munich,1.41401,0.307742,L,Bayer Leverkusen,Away
15257,2021-01-03 17:00:00,2020-2021,Bundesliga,Bayern Munich,Mainz 05,5,2,Bayern Munich,4.11014,1.1937,W,Mainz 05,Home
15267,2021-01-08 19:30:00,2020-2021,Bundesliga,Borussia M.Gladbach,Bayern Munich,3,2,Bayern Munich,1.32717,0.96923,W,Borussia M.Gladbach,Away
