id,datetime,season,competition,home_team,away_team,home_goals,away_goals,name_of_team,xG,xG_conceded,result,opponent,venue
10535,2019-02-23 14:30:00,2018-2019,Bundesliga,Bayern Munich,Hertha Berlin,1,0,Bayern Munich,0.989434,0.279649,W,Hertha Berlin,Home
10548,2019-03-02 17:30:00,2018-2019,Bundesliga,Borussia M.Gladbach,Bayern Munich,1,5,Bayern Munich,5.94023,0.58281,L,Borussia M.Gladbach,Away
10553,2019-03-09 14:30:00,2018-2019,Bundesliga,Bayern Munich,Wolfsburg,6,0,Bayern Munich,3.77617,0.159247,W,Wolfsburg,Home
10565,2019-03-17 17:00:00,2018-2019,Bundesliga,Bayern Munich,Mainz 05,6,0,Bayern Munich,2.66818,0.302976,W,Mainz 05,Home
10578,2019-03-30 14:30:00,2018-2019,Bundesliga,Freiburg,Bayern Munich,1,1,Bayern Munich,3.23843,0.719026,D,Freiburg,Away
10580,2019-04-06 17:30:00,2018-2019,Bundesliga,Bayern Munich,Borussia Dortmund,5,0,Bayern Munich,4.30876,0.478204,W,Borussia Dortmund,Home
10596,2019-04-14 14:30:00,2018-2019,Bundesliga,Fortuna Duesseldorf,Bayern Munich,1,4,Bayern Munich,3.34878,0.972295,L,Fortuna Duesseldorf,Away
10598,2019-04-20 14:30:00,2018-2019,Bundesliga,Bayern Munich,Werder Bremen,1,0,Bayern Munich,2.60771,0.134891,W,Werder Bremen,Home
10615,2019-04-28 17:00:00,2018-2019,Bundesliga,Nuernberg,Bayern Munich,1,1,Bayern Munich,1.68788,1.90716,D,Nuernberg,Away
10616,2019-05-04 14:30:00,2018-2019,Bundesliga,Bayern Munich,Hannover 96,3,1,Bayern Munich,5.36034,0.871424,W,Hannover 96,Home
10628,2019-05-11 14:30:00,2018-2019,Bundesliga,RasenBallsport Leipzig,Bayern Munich,0,0,Bayern Munich,1.72176,0.609829,D,RasenBallsport Leipzig,Away
10635,2019-05-18 13:30:00,2018-2019,Bundesliga,Bayern Munich,Eintracht Frankfurt,5,1,Bayern Munich,4.62869,0.954021,W,Eintracht Frankfurt,Home
