id,datetime,season,competition,home_team,away_team,home_goals,away_goals,name_of_team,xG,xG_conceded,result,opponent,venue
10337,2018-08-24 21:30:00,2018-2019,Bundesliga,Bayern Munich,Hoffenheim,3,1,Bayern Munich,3.08883,0.697274,W,Hoffenheim,Home
10352,2018-09-01 16:30:00,2018-2019,Bundesliga,VfB Stuttgart,Bayern Munich,0,3,Bayern Munich,1.71434,0.0990837,L,VfB Stuttgart,Away
10360,2018-09-15 13:30:00,2018-2019,Bundesliga,Bayern Munich,Bayer Leverkusen,3,1,Bayern Munich,1.40345,0.784725,W,Bayer Leverkusen,Home
10370,2018-09-22 16:30:00,2018-2019,Bundesliga,Schalke 04,Bayern Munich,0,2,Bayern Munich,2.58882,0.358342,L,Schalke 04,Away
10376,2018-09-25 18:30:00,2018-2019,Bundesliga,Bayern Munich,Augsburg,1,1,Bayern Munich,1.43314,1.32512,D,Augsburg,Home
10382,2018-09-28 18:30:00,2018-2019,Bundesliga,Hertha Berlin,Bayern Munich,2,0,Bayern Munich,2.40599,1.48921,W,Hertha Berlin,Away
10391,2018-10-06 16:30:00,2018-2019,Bundesliga,Bayern Munich,Borussia M.Gladbach,0,3,Bayern Munich,0.595523,0.559058,L,Borussia M.Gladbach,Home
10407,2018-10-20 13:30:00,2018-2019,Bundesliga,Wolfsburg,Bayern Munich,1,3,Bayern Munich,2.75811,0.815476,L,Wolfsburg,Away
10415,2018-10-27 13:30:00,2018-2019,Bundesliga,Mainz 05,Bayern Munich,1,2,Bayern Munich,2.15695,0.592384,L,Mainz 05,Away
10422,2018-11-03 14:30:00,2018-2019,Bundesliga,Bayern Munich,Freiburg,1,1,Bayern Munich,1.8539,0.592458,D,Freiburg,Home
10428,2018-11-10 17:30:00,2018-2019,Bundesliga,Borussia Dortmund,Bayern Munich,3,2,Bayern Munich,1.84247,2.56191,W,Borussia Dortmund,Away
10436,2018-11-24 14:30:00,2018-2019,Bundesliga,Bayern Munich,Fortuna Duesseldorf,3,3,Bayern Munich,2.81107,1.36755,D,Fortuna Duesseldorf,Home
10450,2018-12-01 14:30:00,2018-2019,Bundesliga,Werder Bremen,Bayern Munich,1,2,Bayern Munich,3.29433,0.637321,L,Werder Bremen,Away
10454,2018-12-08 14:30:00,2018-2019,Bundesliga,Bayern Munich,Nuernberg,3,0,Bayern Munich,2.8246,0.191129,W,Nuernberg,Home
10469,2018-12-15 14:30:00,2018-2019,Bundesliga,Hannover 96,Bayern Munich,0,4,Bayern Munich,4.18084,0.628893,L,Hannover 96,Away
10472,2018-12-19 19:30:00,2018-2019,Bundesliga,Bayern Munich,RasenBallsport Leipzig,1,0,Bayern Munich,1.81321,0.721767,W,RasenBallsport Leipzig,Home
10487,2018-12-22 17:30:00,2018-2019,Bundesliga,Eintracht Frankfurt,Bayern Munich,0,3,Bayern Munich,2.04036,1.31242,L,Eintracht Frankfurt,Away
10497,2019-01-18 19:30:00,2018-2019,Bundesliga,Hoffenheim,Bayern Munich,1,3,Bayern Munich,3.31311,1.1596,L,Hoffenheim,Away
10499,2019-01-27 14:30:00,2018-2019,Bundesliga,Bayern Munich,VfB Stuttgart,4,1,Bayern Munich,3.41668,0.361664,W,VfB Stuttgart,Home
10508,2019-02-02 14:30:00,2018-2019,Bundesliga,Bayer Leverkusen,Bayern Munich,3,1,Bayern Munich,1.868,1.2769,W,Bayer Leverkusen,Away
10517,2019-02-09 17:30:00,2018-2019,Bundesliga,Bayern Munich,Schalke 04,3,1,Bayern Munich,2.35845,1.39766,W,Schalke 04,Home
10531,2019-02-15 19:30:00,2018-2019,Bundesliga,Augsburg,Bayern Munich,2,3,Bayern Munich,2.20232,0.510867,L,Augsburg,Away
