id,datetime,season,competition,home_team,away_team,home_goals,away_goals,name_of_team,xG,xG_conceded,result,opponent,venue
23234,2024-01-27 14:30:00,2023-2024,Bundesliga,Augsburg,Bayern Munich,2,3,Bayern Munich,2.27504,2.68517,L,Augsburg,Away
23236,2024-02-03 14:30:00,2023-2024,Bundesliga,Bayern Munich,Borussia M.Gladbach,3,1,Bayern Munich,2.58401,0.780069,W,Borussia M.Gladbach,Home
23250,2024-02-10 17:30:00,2023-2024,Bundesliga,Bayer Leverkusen,Bayern Munich,3,0,Bayern Munich,0.710198,1.22993,W,Bayer Leverkusen,Away
23260,2024-02-18 16:30:00,2023-2024,Bundesliga,Bochum,Bayern Munich,3,2,Bayern Munich,2.86883,2.08495,W,Bochum,Away
23271,2024-02-24 17:30:00,2023-2024,Bundesliga,Bayern Munich,RasenBallsport Leipzig,2,1,Bayern Munich,1.83179,0.57703,W,RasenBallsport Leipzig,Home
23273,2024-03-01 19:30:00,2023-2024,Bundesliga,Freiburg,Bayern Munich,2,2,Bayern Munich,2.4424,1.53977,D,Freiburg,Away
23281,2024-03-09 14:30:00,2023-2024,Bundesliga,Bayern Munich,Mainz 05,8,1,Bayern Munich,6.78137,1.07439,W,Mainz 05,Home
23298,2024-03-16 14:30:00,2023-2024,Bundesliga,Darmstadt,Bayern Munich,2,5,Bayern Munich,5.11913,1.2476,L,Darmstadt,Away
23299,2024-03-30 17:30:00,2023-2024,Bundesliga,Bayern Munich,Borussia Dortmund,0,2,Bayern Munich,1.90876,1.25844,L,Borussia Dortmund,Home
23315,2024-04-06 13:30:00,2023-2024,Bundesliga,FC Heidenheim,Bayern Munich,3,2,Bayern Munich,2.12066,1.35048,W,FC Heidenheim,Away
23317,2024-04-13 13:30:00,2023-2024,Bundesliga,Bayern Munich,FC Cologne,2,0,Bayern Munich,2.34705,0.766768,W,FC Cologne,Home
23327,2024-04-20 16:30:00,2023-2024,Bundesliga,Union Berlin,Bayern Munich,1,5,Bayern Munich,1.92795,1.06863,L,Union Berlin,Away
23335,2024-04-27 13:30:00,2023-2024,Bundesliga,Bayern Munich,Eintracht Frankfurt,2,1,Bayern Munich,3.29649,0.392852,W,Eintracht Frankfurt,Home
23351,2024-05-04 13:30:00,2023-2024,Bundesliga,VfB Stuttgart,Bayern Munich,3,1,Bayern Munich,1.92761,2.0106,W,VfB Stuttgart,Away
23353,2024-05-12 15:30:00,2023-2024,Bundesliga,Bayern Munich,Wolfsburg,2,0,Bayern Munich,0.37152,0.132383,W,Wolfsburg,Home
23367,2024-05-18 13:30:00,2023-2024,Bundesliga,Hoffenheim,Bayern Munich,4,2,Bayern Munich,1.69159,2.44188,W,Hoffenheim,Away
