id,datetime,season,competition,home_team,away_team,home_goals,away_goals,name_of_team,xG,xG_conceded,result,opponent,venue
23065,2023-08-18 18:30:00,2023-2024,Bundesliga,Werder Bremen,Bayern Munich,0,4,Bayern Munich,2.89704,0.63974,L,Werder Bremen,Away
23082,2023-08-27 15:30:00,2023-2024,Bundesliga,Bayern Munich,Augsburg,3,1,Bayern Munich,2.82296,0.726241,W,Augsburg,Home
23089,2023-09-02 16:30:00,2023-2024,Bundesliga,Borussia M.Gladbach,Bayern Munich,1,2,Bayern Munich,2.14949,0.201237,L,Borussia M.Gladbach,Away
23092,2023-09-15 18:30:00,2023-2024,Bundesliga,Bayern Munich,Bayer Leverkusen,2,2,Bayern Munich,2.74374,2.4584,D,Bayer Leverkusen,Home
23104,2023-09-23 13:30:00,2023-2024,Bundesliga,Bayern Munich,Bochum,7,0,Bayern Munich,6.02607,0.0892044,W,Bochum,Home
23116,2023-09-30 16:30:00,2023-2024,Bundesliga,RasenBallsport Leipzig,Bayern Munich,2,2,Bayern Munich,1.95099,0.793383,D,RasenBallsport Leipzig,Away
23126,2023-10-08 15:30:00,2023-2024,Bundesliga,Bayern Munich,Freiburg,3,0,Bayern Munich,2.37438,0.0704987,W,Freiburg,Home
23134,2023-10-21 16:30:00,2023-2024,Bundesliga,Mainz 05,Bayern Munich,1,3,Bayern Munich,1.68693,0.975025,L,Mainz 05,Away
23137,2023-10-28 13:30:00,2023-2024,Bundesliga,Bayern Munich,Darmstadt,8,0,Bayern Munich,5.884,0.924873,W,Darmstadt,Home
23146,2023-11-04 17:30:00,2023-2024,Bundesliga,Borussia Dortmund,Bayern Munich,0,4,Bayern Munich,2.86067,1.47623,L,Borussia Dortmund,Away
23155,2023-11-11 14:30:00,2023-2024,Bundesliga,Bayern Munich,FC Heidenheim,4,2,Bayern Munich,2.60786,1.04526,W,FC Heidenheim,Home
23169,2023-11-24 19:30:00,2023-2024,Bundesliga,FC Cologne,Bayern Munich,0,1,Bayern Munich,3.8999,0.189125,L,FC Cologne,Away
23184,2023-12-09 14:30:00,2023-2024,Bundesliga,Eintracht Frankfurt,Bayern Munich,5,1,Bayern Munich,2.59277,1.84651,W,Eintracht Frankfurt,Away
23191,2023-12-17 18:30:00,2023-2024,Bundesliga,Bayern Munich,VfB Stuttgart,3,0,Bayern Munich,3.41522,0.309157,W,VfB Stuttgart,Home
23204,2023-12-20 19:30:00,2023-2024,Bundesliga,Wolfsburg,Bayern Munich,1,2,Bayern Munich,3.15053,0.313193,L,Wolfsburg,Away
23209,2024-01-12 19:30:00,2023-2024,Bundesliga,Bayern Munich,Hoffenheim,3,0,Bayern Munich,3.4164,1.61888,W,Hoffenheim,Home
23218,2024-01-21 14:30:00,2023-2024,Bundesliga,Bayern Munich,Werder Bremen,0,1,Bayern Munich,1.54562,0.429252,L,Werder Bremen,Home
23173,2024-01-24 18:30:00,2023-2024,Bundesliga,Bayern Munich,Union Berlin,1,0,Bayern Munich,2.172,0.477644,W,Union Berlin,Home
