id,datetime,season,competition,home_team,away_team,home_goals,away_goals,name_of_team,xG,xG_conceded,result,opponent,venue
19525,2023-02-18 14:30:00,2022-2023,Bundesliga,Borussia M.Gladbach,Bayern Munich,3,2,Bayern Munich,1.22226,2.26574,W,Borussia M.Gladbach,Away
19531,2023-02-26 16:30:00,2022-2023,Bundesliga,Bayern Munich,Union Berlin,3,0,Bayern Munich,3.86403,0.212984,W,Union Berlin,Home
19548,2023-03-04 17:30:00,2022-2023,Bundesliga,VfB Stuttgart,Bayern Munich,1,2,Bayern Munich,2.55612,0.596921,L,VfB Stuttgart,Away
19549,2023-03-11 14:30:00,2022-2023,Bundesliga,Bayern Munich,Augsburg,5,3,Bayern Munich,2.49393,2.48124,W,Augsburg,Home
19559,2023-03-19 16:30:00,2022-2023,Bundesliga,Bayer Leverkusen,Bayern Munich,2,1,Bayern Munich,1.10651,1.85014,W,Bayer Leverkusen,Away
19574,2023-04-01 16:30:00,2022-2023,Bundesliga,Bayern Munich,Borussia Dortmund,4,2,Bayern Munich,3.10094,1.57525,W,Borussia Dortmund,Home
19578,2023-04-08 13:30:00,2022-2023,Bundesliga,Freiburg,Bayern Munich,0,1,Bayern Munich,3.09211,1.0909,L,Freiburg,Away
19585,2023-04-15 13:30:00,2022-2023,Bundesliga,Bayern Munich,Hoffenheim,1,1,Bayern Munich,1.88997,0.27365,D,Hoffenheim,Home
19597,2023-04-22 13:30:00,2022-2023,Bundesliga,Mainz 05,Bayern Munich,3,1,Bayern Munich,2.70283,1.29569,W,Mainz 05,Away
19603,2023-04-30 13:30:00,2022-2023,Bundesliga,Bayern Munich,Hertha Berlin,2,0,Bayern Munich,2.92722,0.0835934,W,Hertha Berlin,Home
19620,2023-05-06 16:30:00,2022-2023,Bundesliga,Werder Bremen,Bayern Munich,1,2,Bayern Munich,2.02292,0.805974,L,Werder Bremen,Away
19621,2023-05-13 13:30:00,2022-2023,Bundesliga,Bayern Munich,Schalke 04,6,0,Bayern Munich,5.05599,0.33961,W,Schalke 04,Home
19630,2023-05-20 16:30:00,2022-2023,Bundesliga,Bayern Munich,RasenBallsport Leipzig,1,3,Bayern Munich,1.63955,2.63992,L,RasenBallsport Leipzig,Home
19642,2023-05-27 13:30:00,2022-2023,Bundesliga,FC Cologne,Bayern Munich,1,2,Bayern Munich,1.68032,1.15669,L,FC Cologne,Away
