id,datetime,season,competition,home_team,away_team,home_goals,away_goals,name_of_team,xG,xG_conceded,result,opponent,venue
19342,2022-08-05 18:30:00,2022-2023,Bundesliga,Eintracht Frankfurt,Bayern Munich,1,6,Bayern Munich,4.56023,0.756176,L,Eintracht Frankfurt,Away
19359,2022-08-14 15:30:00,2022-2023,Bundesliga,Bayern Munich,Wolfsburg,2,0,Bayern Munich,1.4017,0.443318,W,Wolfsburg,Home
19368,2022-08-21 15:30:00,2022-2023,Bundesliga,Bochum,Bayern Munich,0,7,Bayern Munich,3.98121,0.747624,L,Bochum,Away
19375,2022-08-27 16:30:00,2022-2023,Bundesliga,Bayern Munich,Borussia M.Gladbach,1,1,Bayern Munich,3.17378,0.548057,D,Borussia M.Gladbach,Home
19380,2022-09-03 13:30:00,2022-2023,Bundesliga,Union Berlin,Bayern Munich,1,1,Bayern Munich,1.38204,0.443137,D,Union Berlin,Away
19388,2022-09-10 13:30:00,2022-2023,Bundesliga,Bayern Munich,VfB Stuttgart,2,2,Bayern Munich,2.2976,1.18754,D,VfB Stuttgart,Home
19399,2022-09-17 13:30:00,2022-2023,Bundesliga,Augsburg,Bayern Munich,1,0,Bayern Munich,1.82063,2.20918,W,Augsburg,Away
19405,2022-09-30 18:30:00,2022-2023,Bundesliga,Bayern Munich,Bayer Leverkusen,4,0,Bayern Munich,2.13413,0.940717,W,Bayer Leverkusen,Home
19414,2022-10-08 16:30:00,2022-2023,Bundesliga,Borussia Dortmund,Bayern Munich,2,2,Bayern Munich,1.22934,1.42928,D,Borussia Dortmund,Away
19423,2022-10-16 17:30:00,2022-2023,Bundesliga,Bayern Munich,Freiburg,5,0,Bayern Munich,2.07998,0.328313,W,Freiburg,Home
19436,2022-10-22 13:30:00,2022-2023,Bundesliga,Hoffenheim,Bayern Munich,0,2,Bayern Munich,3.12799,0.766181,L,Hoffenheim,Away
19441,2022-10-29 13:30:00,2022-2023,Bundesliga,Bayern Munich,Mainz 05,6,2,Bayern Munich,4.33442,1.78114,W,Mainz 05,Home
19455,2022-11-05 14:30:00,2022-2023,Bundesliga,Hertha Berlin,Bayern Munich,2,3,Bayern Munich,2.23326,1.09255,L,Hertha Berlin,Away
19459,2022-11-08 19:30:00,2022-2023,Bundesliga,Bayern Munich,Werder Bremen,6,1,Bayern Munich,5.72728,1.44045,W,Werder Bremen,Home
19475,2022-11-12 17:30:00,2022-2023,Bundesliga,Schalke 04,Bayern Munich,0,2,Bayern Munich,1.65233,0.891772,L,Schalke 04,Away
19478,2023-01-20 19:30:00,2022-2023,Bundesliga,RasenBallsport Leipzig,Bayern Munich,1,1,Bayern Munich,0.813529,1.03072,D,RasenBallsport Leipzig,Away
19486,2023-01-24 19:30:00,2022-2023,Bundesliga,Bayern Munich,FC Cologne,1,1,Bayern Munich,1.4893,0.782641,D,FC Cologne,Home
19495,2023-01-28 17:30:00,2022-2023,Bundesliga,Bayern Munich,Eintracht Frankfurt,1,1,Bayern Munich,1.38005,0.882875,D,Eintracht Frankfurt,Home
19509,2023-02-05 16:30:00,2022-2023,Bundesliga,Wolfsburg,Bayern Munich,2,4,Bayern Munich,0.568665,2.39463,L,Wolfsburg,Away
19513,2023-02-11 14:30:00,2022-2023,Bundesliga,Bayern Munich,Bochum,3,0,Bayern Munich,4.37602,0.242356,W,Bochum,Home
