id,datetime,season,competition,home_team,away_team,home_goals,away_goals,name_of_team,xG,xG_conceded,result,opponent,venue
12565,2020-01-25 17:30:00,2019-2020,Bundesliga,Bayern Munich,Schalke 04,5,0,Bayern Munich,3.90217,0.401432,W,Schalke 04,Home
12579,2020-02-01 14:30:00,2019-2020,Bundesliga,Mainz 05,Bayern Munich,1,3,Bayern Munich,2.03579,0.332903,L,Mainz 05,Away
12583,2020-02-09 17:00:00,2019-2020,Bundesliga,Bayern Munich,RasenBallsport Leipzig,0,0,Bayern Munich,1.0745,1.76051,D,RasenBallsport Leipzig,Home
12598,2020-02-16 14:30:00,2019-2020,Bundesliga,FC Cologne,Bayern Munich,1,4,Bayern Munich,3.04216,2.03908,L,FC Cologne,Away
12601,2020-02-21 19:30:00,2019-2020,Bundesliga,Bayern Munich,Paderborn,3,2,Bayern Munich,3.2444,1.47195,W,Paderborn,Home
12613,2020-02-29 14:30:00,2019-2020,Bundesliga,Hoffenheim,Bayern Munich,0,6,Bayern Munich,4.77962,0.554679,L,Hoffenheim,Away
12619,2020-03-08 14:30:00,2019-2020,Bundesliga,Bayern Munich,Augsburg,2,0,Bayern Munich,4.05804,1.0173,W,Augsburg,Home
12636,2020-05-17 16:00:00,2019-2020,Bundesliga,Union Berlin,Bayern Munich,0,2,Bayern Munich,1.39334,0.548769,L,Union Berlin,Away
12638,2020-05-23 16:30:00,2019-2020,Bundesliga,Bayern Munich,Eintracht Frankfurt,5,2,Bayern Munich,3.59062,1.03034,W,Eintracht Frankfurt,Home
12652,2020-05-26 16:30:00,2019-2020,Bundesliga,Borussia Dortmund,Bayern Munich,0,1,Bayern Munich,0.769692,0.616596,L,Borussia Dortmund,Away
12655,2020-05-30 16:30:00,2019-2020,Bundesliga,Bayern Munich,Fortuna Duesseldorf,5,0,Bayern Munich,3.02763,0.723584,W,Fortuna Duesseldorf,Home
12666,2020-06-06 13:30:00,2019-2020,Bundesliga,Bayer Leverkusen,Bayern Munich,2,4,Bayern Munich,2.6513,0.768558,L,Bayer Leverkusen,Away
12673,2020-06-13 16:30:00,2019-2020,Bundesliga,Bayern Munich,Borussia M.Gladbach,2,1,Bayern Munich,1.77878,0.983991,W,Borussia M.Gladbach,Home
12687,2020-06-16 18:30:00,2019-2020,Bundesliga,Werder Bremen,Bayern Munich,0,1,Bayern Munich,1.33112,0.274502,L,Werder Bremen,Away
12691,2020-06-20 13:30:00,2019-2020,Bundesliga,Bayern Munich,Freiburg,3,1,Bayern Munich,2.14695,1.42671,W,Freiburg,Home
12703,2020-06-27 13:30:00,2019-2020,Bundesliga,Wolfsburg,Bayern Munich,0,4,Bayern Munich,3.22208,0.745741,L,Wolfsburg,Away
